Question,Option A,Option B,Option C,Option D,Answer,,,,,,,,,,,,
Coronal plane cuts the body in:,Top and bottom halves,Front and back halves,Left and right halves,Diagonally,B,,,,,,,,,,,,
Which of the following statements is TRUE?,Pulmonary arteries carry oxygenated blood,Pulmonary veins carry oxygenated blood,Pulmonary veins carry deoxygenated blood,None of the above,B,,,,,,,,,,,,
Which of the following is the smallest blood vessel?,Artery,Capillary,Vein,Aorta,B,,,,,,,,,,,,
Which chamber dispenses blood to the body?,Right atrium,Left atrium,Right ventricle,Left ventricle,D,,,,,,,,,,,,
Which of the following is a component of a long bone?,Epiphysis,Diaphysis,Medullary cavity,All of the above,D,,,,,,,,,,,,
When the angle at a joint decreases it is known as:,Abduction,Rotation,Flexion,Extension,C,,,,,,,,,,,,
Which of the following statements is TRUE?,Cardiac muscles are striated,Cardiac muscles are non-striated,Cardiac muscles are voluntary,Smooth muscles are voluntary,A,,,,,,,,,,,,
Arrangement of effort-fulcrum-load represents which class of a lever?,Class 1,Class 2,Class 3,Class 4,A,,,,,,,,,,,,
Which of the following is a synovial joint?,Shoulder,Hip,Knee,All of the above,D,,,,,,,,,,,,
Rotational movements generally occur in which of the following planes?,Sagittal,Coronal,Transverse,Frontal,C,,,,,,,,,,,,
Study of normal functioning of the body is called:,Pathology,Kinesiology,Physiology,Biology,C,,,,,,,,,,,,
Formula for cardiac output is:,Q = SV - HR,Q = SV + HR,Q = SV x HR,Q = SV + MHR,C,,,,,,,,,,,,
Which of the following is a property of skeletal muscles?,Elasticity,Contractility,Excitability,All of the above,D,,,,,,,,,,,,
Abduction is:,Taking the limb away from the midline of the body,Taking the limb towards the midline of the body,Taking the limb in front of the body,Taking the limb behind the body,A,,,,,,,,,,,,
Which of the following is the smallest component of a muscle?,Fibre,Fascicle,Myofibril,Actin and myosin,D,,,,,,,,,,,,
Which of the following is the function of the anterior deltoid muscle?,Shoulder flexion,Shoulder horizontal adduction,Shoulder vertical abduction,All the above,D,,,,,,,,,,,,
Which one of the following muscles has the function of elbow flexion and forearm supination?,Wrist extensor,Triceps brachii,Biceps brachii,Flexor carpi radialis,C,,,,,,,,,,,,
Trunk flexion is the primary function of which of the following muscles?,Rectus abdominis,Transversus abdominis,Internal oblique,External oblique,A,,,,,,,,,,,,
Which of the following muscles brings the femur closer to the midline?,Adductor magnus,Gluteus maximus,Biceps femoris,Tibialis anterior,A,,,,,,,,,,,,
Which of the following muscles does shoulder horizontal adduction?,Pectoralis minor,Pectoralis major,Anterior deltoid,Both B and C,D,,,,,,,,,,,,
Which of the following muscles does elbow flexion?,Biceps brachii,Triceps brachii,Brachialis,Both A and C,D,,,,,,,,,,,,
Which angle of the bench would be most suited to train the clavicular head of the pectoralis major?,15° decline,Flat,15° incline,30° incline,D,,,,,,,,,,,,
Which of the following is a biarticulate muscle?,Brachialis,Lateral head of triceps brachii,Long head of triceps brachii,None of the above,C,,,,,,,,,,,,
Sam is doing lateral flexion using a high pulley. Which muscle is he training?,Rectus abdominis,Transversus abdominis,Iliacus,External oblique,D,,,,,,,,,,,,
Which function of the gluteus maximus is targeted in hip thrust exercises?,Hip extension,Hip adduction,Hip abduction,All of the above,A,,,,,,,,,,,,
Which of the following is an isolation movement?,Good morning,Shrugs,Dumbbell pullover,All of the above,D,,,,,,,,,,,,
Which of the following muscles are involved in one-arm dumbbell row exercises?,Latissimus dorsi,Biceps brachii,Teres major,All of the above,D,,,,,,,,,,,,
Scapular elevation against resistance can be trained through which exercise?,Prone shrugs,Reverse shrugs,Shrugs,Pullovers,C,,,,,,,,,,,,
Which of the following is the best sequence for a back workout?,Bent over row-Wide grip lt pull down-Shrugs-Prone high row, Wide grip lat pull down-Shrugs-Prone high row-Bent over row, Prone high row-Bent over row-shrugs-Wide grip lat pull down, prone high row-Bent over row-Wide grip lat pull down-Shrugs,A,,,,,,,,,,,,C
Shoulder extension is a function of which of the following muscles?,Rhomboids,Teres major,Trapezius,Teres minor,B,,,,,,,,,,,,
Unilateral leg press will train which of the following muscles?,Vastus lateralis,Soleus,Gastrocnemius,Short head of biceps femoris,A,,,,,,,,,,,,
Rotational movements generally occur in which of the following planes?,Sagittal,Coronal,Transverse,Frontal,C,,,,,,,,,,,,
Best exercise for Erector Spinae (resisting trunk flexion) would be:,Bent over row,Good morning,One arm row,Chin-ups,B,,,,,,,,,,,,
Which of the following muscles is responsible to maintain scapular depression in close grip pull-up?,Middle fibers of trapezius,Lower fibers of trapezius,Upper fibers of trapezius,Latissimus dorsi,B,,,,,,,,,,,,
Which of the following will be the optimal movement in order to improve strength?,T-bar rows,Straight arm pull-downs,DB pull-overs,Bent over DB rows,D,,,,,,,,,,,,
Which one of the following muscles maintains lateral pelvic stability?,Gluteus maximus,Gluteus medius,Vastus lateralis,Hip flexors,B,,,,,,,,,,,,
